mep_id,parliamentary_term,start_date,end_date,political_group
1874,10,1995-11-15,1997-02-03,Group of the Party of European Socialists
1874,10,1997-02-04,1998-10-02,Group of the Party of European Socialists
1874,3,1993-01-25,1993-04-20,Socialist Group
1874,3,1993-04-21,1994-07-18,Group of the Party of European Socialists
1874,4,1994-07-19,1995-11-14,Group of the Party of European Socialists
1874,4,1995-11-15,1997-02-03,Group of the Party of European Socialists
1874,4,1997-02-04,1998-10-02,Group of the Party of European Socialists
28587,10,2004-07-20,2007-09-25,Independence/Democracy Group
28587,6,2004-07-20,2007-09-25,Independence/Democracy Group
1817,10,2003-06-16,2004-07-19,"Group of the European Liberal, Democrat and Reform Party"
1817,2,1985-11-12,1985-12-12,Liberal and Democratic Group
1817,2,1985-12-13,1989-07-24,Liberal and Democratic Reformist Group
1817,3,1991-12-17,1994-07-18,Liberal and Democratic Reformist Group
1817,4,1994-07-19,1996-04-14,"Group of the European Liberal, Democrat and Reform Party"
1817,4,1996-04-15,1999-07-19,"Group of the European Liberal, Democrat and Reform Party"
1817,5,2003-06-16,2004-07-19,"Group of the European Liberal, Democrat and Reform Party"
2115,10,1995-01-01,1995-10-08,Group of the European People's Party (Christian-Democratic Group)
2115,4,1995-01-01,1995-10-08,Group of the European People's Party (Christian-Democratic Group)
2151,10,1995-01-01,1995-10-08,Group of the Party of European Socialists
2151,10,1995-10-09,1998-10-04,Group of the Party of European Socialists
2151,4,1995-01-01,1995-10-08,Group of the Party of European Socialists
2151,4,1995-10-09,1998-10-04,Group of the Party of European Socialists
96824,10,2014-07-01,2015-10-26,Group of the European People's Party (Christian Democrats)
96824,10,2015-10-27,2015-10-28,European Conservatives and Reformists Group
96824,10,2015-10-29,2016-12-12,European Conservatives and Reformists Group
96824,10,2016-12-13,2017-01-15,European Conservatives and Reformists Group
96824,10,2017-01-16,2017-07-04,European Conservatives and Reformists Group
96824,10,2017-07-04,2017-07-04,European Conservatives and Reformists Group
96824,10,2017-07-05,2018-07-03,European Conservatives and Reformists Group
96824,10,2018-07-04,2019-07-01,European Conservatives and Reformists Group
96824,7,2009-07-14,2014-06-30,Group of the European People's Party (Christian Democrats)
96824,8,2014-07-01,2015-10-26,Group of the European People's Party (Christian Democrats)
96824,8,2015-10-27,2015-10-28,European Conservatives and Reformists Group
96824,8,2015-10-29,2016-12-12,European Conservatives and Reformists Group
96824,8,2016-12-13,2017-01-15,European Conservatives and Reformists Group
96824,8,2017-01-16,2017-07-04,European Conservatives and Reformists Group
96824,8,2017-07-04,2017-07-04,European Conservatives and Reformists Group
96824,8,2017-07-05,2018-07-03,European Conservatives and Reformists Group
96824,8,2018-07-04,2019-07-01,European Conservatives and Reformists Group
1935,10,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1935,4,1994-07-19,1999-07-19,The Green Group in the European Parliament
1935,5,1999-07-20,2000-10-25,Group of the Greens/European Free Alliance
1935,5,2000-10-26,2004-07-19,Group of the Party of European Socialists
1935,6,2004-07-20,2009-07-13,Socialist Group in the European Parliament
1935,7,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
33946,10,2005-07-12,2006-12-12,Independence/Democracy Group
33946,10,2006-12-13,2009-07-13,Union for Europe of the Nations Group
33946,6,2005-07-12,2006-12-12,Independence/Democracy Group
33946,6,2006-12-13,2009-07-13,Union for Europe of the Nations Group
23894,10,2014-07-01,2019-07-01,Group of the European People's Party (Christian Democrats)
23894,5,2003-04-30,2004-04-30,Group of the European People's Party (Christian Democrats) and European Democrats
23894,5,2004-05-01,2004-07-19,Group of the European People's Party (Christian Democrats) and European Democrats
23894,6,2004-07-20,2004-08-30,Group of the European People's Party (Christian Democrats) and European Democrats
23894,6,2004-08-31,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
23894,7,2009-07-14,2009-09-15,Group of the European People's Party (Christian Democrats)
23894,7,2009-09-16,2014-06-30,Group of the European People's Party (Christian Democrats)
23894,8,2014-07-01,2019-07-01,Group of the European People's Party (Christian Democrats)
1028,10,1989-07-25,1993-03-30,Group of the European People's Party (Christian-Democratic Group)
1028,3,1989-07-25,1993-03-30,Group of the European People's Party (Christian-Democratic Group)
28362,10,2009-07-14,2009-11-24,Group of the European People's Party (Christian Democrats)
28362,10,2009-11-25,2012-02-02,Group of the European People's Party (Christian Democrats)
28362,10,2012-02-03,2014-06-30,Group of the European People's Party (Christian Democrats)
28362,6,2004-07-20,2004-11-13,Group of the European People's Party (Christian Democrats) and European Democrats
28362,6,2004-11-14,2005-03-08,Group of the European People's Party (Christian Democrats) and European Democrats
28362,6,2005-03-09,2007-02-14,Group of the European People's Party (Christian Democrats) and European Democrats
28362,6,2007-02-15,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
28362,7,2009-07-14,2009-11-24,Group of the European People's Party (Christian Democrats)
28362,7,2009-11-25,2012-02-02,Group of the European People's Party (Christian Democrats)
28362,7,2012-02-03,2014-06-30,Group of the European People's Party (Christian Democrats)
197773,10,2024-07-16,,European Conservatives and Reformists Group
197773,9,2019-07-02,2024-07-15,European Conservatives and Reformists Group
96847,10,2014-07-01,2019-07-01,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96847,7,2009-07-14,2010-11-14,Non-attached Members
96847,7,2010-11-15,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96847,8,2014-07-01,2019-07-01,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124928,10,2014-07-01,2014-10-07,Group of the Alliance of Liberals and Democrats for Europe
124928,10,2014-10-08,2019-07-01,European Conservatives and Reformists Group
124928,8,2014-07-01,2014-10-07,Group of the Alliance of Liberals and Democrats for Europe
124928,8,2014-10-08,2019-07-01,European Conservatives and Reformists Group
