vote_id,code,interinstitutional_file_no,label,date,committee_responsible
38796,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38797,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38798,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38799,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38800,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38801,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38802,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38803,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38804,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38805,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38806,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38807,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38808,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38809,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38810,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38811,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38812,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38813,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38814,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
